line,numSteps,stepTime,dir,end,x,y,z,pitch,roll,yaw,f
1,103,41.2,1,0,531,0,1.85,0,-180,0,150
2,117,46.8,1,0,517.1987,26.807,1.85,0,-180,0,150
3,134,53.6,1,0,490.9727,43.174,1.85,0,-180,0,150
4,148,59.2,1,0,461.5515,52.9671,1.85,0,-180,0,150
5,158,63.2,1,0,430.9856,58.2959,1.85,0,-180,0,150
6,162,64.8,1,0,400,60,1.85,0,-180,0,150
7,158,63.2,1,0,369.0144,58.2959,1.85,0,-180,0,150
8,148,59.2,1,0,338.4485,52.9671,1.85,0,-180,0,150
9,134,53.6,1,0,309.0273,43.174,1.85,0,-180,0,150
10,115,46,1,0,282.8013,26.807,1.85,0,-180,0,150
11,103,41.2,1,0,269,5.71E-06,1.85,0,-180,0,150
12,117,46.8,1,0,282.8013,-26.807,1.85,0,-180,0,150
13,134,53.6,1,0,309.0273,-43.174,1.85,0,-180,0,150
14,148,59.2,1,0,338.4485,-52.9671,1.85,0,-180,0,150
15,158,63.2,1,0,369.0144,-58.2959,1.85,0,-180,0,150
16,162,64.8,1,0,400,-60,1.85,0,-180,0,150
17,158,63.2,1,0,430.9856,-58.2959,1.85,0,-180,0,150
18,148,59.2,1,0,461.5515,-52.9671,1.85,0,-180,0,150
19,134,53.6,1,0,490.9727,-43.174,1.85,0,-180,0,150
20,115,46,1,0,517.1987,-26.807,1.85,0,-180,0,150
21,103,41.2,1,0,531.0139,0,3.0679,0,-180,0,150
22,117,46.8,1,0,517.1753,26.7764,3.2037,0,-180,0,150
23,134,53.6,1,0,490.9508,43.1304,3.3931,0,-180,0,150
24,148,59.2,1,0,461.5434,52.9368,3.555,0,-180,0,150
25,158,63.2,1,0,430.9899,58.2855,3.6659,0,-180,0,150
26,162,64.8,1,0,400.0139,60,3.709,0,-180,0,150
27,158,63.2,1,0,369.0378,58.2855,3.6659,0,-180,0,150
28,148,59.2,1,0,338.4844,52.9368,3.555,0,-180,0,150
29,134,53.6,1,0,309.0769,43.1304,3.3931,0,-180,0,150
30,115,46,1,0,282.8524,26.7764,3.2037,0,-180,0,150
31,103,41.2,1,0,269.0139,9.26E-07,3.0679,0,-180,0,150
32,117,46.8,1,0,282.8524,-26.7764,3.2036,0,-180,0,150
33,134,53.6,1,0,309.0769,-43.1304,3.3931,0,-180,0,150
34,148,59.2,1,0,338.4844,-52.9368,3.555,0,-180,0,150
35,158,63.2,1,0,369.0378,-58.2855,3.6659,0,-180,0,150
36,162,64.8,1,0,400.0139,-60,3.709,0,-180,0,150
37,158,63.2,1,0,430.9899,-58.2855,3.6659,0,-180,0,150
38,148,59.2,1,0,461.5434,-52.9368,3.555,0,-180,0,150
39,134,53.6,1,0,490.9508,-43.1304,3.3931,0,-180,0,150
40,114,45.6,1,0,517.1753,-26.7764,3.2037,0,-180,0,150
41,103,41.2,1,0,531.0277,0,4.2859,0,-180,0,150
42,117,46.8,1,0,517.1521,26.7457,4.5572,0,-180,0,150
43,134,53.6,1,0,490.9295,43.0866,4.9361,0,-180,0,150
44,148,59.2,1,0,461.536,52.9062,5.26,0,-180,0,150
45,158,63.2,1,0,430.9949,58.275,5.4817,0,-180,0,150
46,162,64.8,1,0,400.0277,60,5.5679,0,-180,0,150
47,158,63.2,1,0,369.0606,58.275,5.4817,0,-180,0,150
48,148,59.2,1,0,338.5194,52.9062,5.26,0,-180,0,150
49,134,53.6,1,0,309.126,43.0866,4.9361,0,-180,0,150
50,115,46,1,0,282.9034,26.7457,4.5572,0,-180,0,150
51,103,41.2,1,0,269.0277,-3.71E-06,4.2859,0,-180,0,150
52,117,46.8,1,0,282.9034,-26.7458,4.5571,0,-180,0,150
53,134,53.6,1,0,309.126,-43.0866,4.9361,0,-180,0,150
54,148,59.2,1,0,338.5194,-52.9062,5.26,0,-180,0,150
55,158,63.2,1,0,369.0606,-58.275,5.4817,0,-180,0,150
56,162,64.8,1,0,400.0277,-60,5.5679,0,-180,0,150
57,158,63.2,1,0,430.9949,-58.275,5.4817,0,-180,0,150
58,148,59.2,1,0,461.536,-52.9062,5.26,0,-180,0,150
59,134,53.6,1,0,490.9295,-43.0866,4.9361,0,-180,0,150
60,114,45.6,1,0,517.1521,-26.7457,4.5572,0,-180,0,150
61,103,41.2,1,0,531.0416,0,5.5038,0,-180,0,150
62,117,46.8,1,0,517.1289,26.715,5.9105,0,-180,0,150
