line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
106,22,6,1,0,272.5,-10.7591,1.85,0,0,0,300
109,6,6,1,0,272.5,10.7591,1.85,0,0,0,300
112,31,6,1,0,275.05,15.6905,1.85,0,0,0,300
115,4,6,1,0,275.05,-15.6905,1.85,0,0,0,300
118,39,6,1,0,277.6,-19.3478,1.85,0,0,0,300
121,4,6,1,0,277.6,19.3477,1.85,0,0,0,300
124,45,6,1,0,280.15,22.3609,1.85,0,0,0,300
127,4,6,1,0,280.15,-22.361,1.85,0,0,0,300
130,50,6,1,0,282.7,-24.963,1.85,0,0,0,300
133,3,6,1,0,282.7,24.9631,1.85,0,0,0,300
136,55,6,1,0,285.25,27.2728,1.85,0,0,0,300
139,3,6,1,0,285.25,-27.2727,1.85,0,0,0,300
142,59,6,1,0,287.8,-29.3599,1.85,0,0,0,300
145,3,6,1,0,287.8,29.3599,1.85,0,0,0,300
148,63,6,1,0,290.35,31.267,1.85,0,0,0,300
151,3,6,1,0,290.35,-31.2671,1.85,0,0,0,300
154,66,6,1,0,292.9,-33.0252,1.85,0,0,0,300
157,3,6,1,0,292.9,33.0252,1.85,0,0,0,300
160,69,6,1,0,295.45,34.6566,1.85,0,0,0,300
163,3,6,1,0,295.45,-34.6565,1.85,0,0,0,300
166,72,6,1,0,298,-36.1783,1.85,0,0,0,300
169,3,6,1,0,298,36.1785,1.85,0,0,0,300
172,75,6,1,0,300.55,37.605,1.85,0,0,0,300
175,3,6,1,0,300.55,-37.6049,1.85,0,0,0,
178,78,6,1,0,303.1,-38.9463,1.85,0,0,0,
181,3,6,1,0,303.1,38.9464,1.85,0,0,0,
184,80,6,1,0,305.65,40.2104,1.85,0,0,0,
187,3,6,1,0,305.65,-40.2105,1.85,0,0,0,
190,83,6,1,0,308.2,-41.4041,1.85,0,0,0,
193,3,6,1,0,308.2,41.4039,1.85,0,0,0,
196,85,6,1,0,310.75,42.533,1.85,0,0,0,
199,3,6,1,0,310.75,-42.5331,1.85,0,0,0,
202,87,6,1,0,313.3,-43.6024,1.85,0,0,0,
205,3,6,1,0,313.3,43.6023,1.85,0,0,0,
208,89,6,1,0,315.85,44.6163,1.85,0,0,0,
211,3,6,1,0,315.85,-44.6163,1.85,0,0,0,
214,91,6,1,0,318.4,-45.5789,1.85,0,0,0,
217,3,6,1,0,318.4,45.579,1.85,0,0,0,
220,93,6,1,0,320.95,46.4938,1.85,0,0,0,
223,3,6,1,0,320.95,-46.4937,1.85,0,0,0,
226,95,6,1,0,323.5,-47.363,1.85,0,0,0,
229,3,6,1,0,323.5,47.363,1.85,0,0,0,
232,96,6,1,0,326.05,48.189,1.85,0,0,0,
235,3,6,1,0,326.05,-48.1891,1.85,0,0,0,
238,98,6,1,0,328.6,-48.9739,1.85,0,0,0,
241,3,6,1,0,328.6,48.9738,1.85,0,0,0,
244,99,6,1,0,331.15,49.7194,1.85,0,0,0,
247,3,6,1,0,331.15,-49.7195,1.85,0,0,0,
250,101,6,1,0,333.7,-50.4275,1.85,0,0,0,
253,3,6,1,0,333.7,50.4275,1.85,0,0,0,
256,102,6,1,0,336.25,51.0995,1.85,0,0,0,
259,3,6,1,0,336.25,-51.0995,1.85,0,0,0,
262,103,6,1,0,338.8,-51.737,1.85,0,0,0,
265,3,6,1,0,338.8,51.7371,1.85,0,0,0,
268,105,6,1,0,341.35,52.3416,1.85,0,0,0,
271,3,6,1,0,341.35,-52.3415,1.85,0,0,0,
274,106,6,1,0,343.9,-52.9142,1.85,0,0,0,
277,3,6,1,0,343.9,52.9142,1.85,0,0,0,
280,107,6,1,0,346.45,53.4558,1.85,0,0,0,
283,3,6,1,0,346.45,-53.4558,1.85,0,0,0,
286,108,6,1,0,349,-53.9673,1.85,0,0,0,
289,3,6,1,0,349,53.9672,1.85,0,0,0,
292,109,6,1,0,351.55,54.4492,1.85,0,0,0,
295,3,6,1,0,351.55,-54.4494,1.85,0,0,0,
298,110,6,1,0,354.1,-54.9027,1.85,0,0,0,
301,3,6,1,0,354.1,54.9026,1.85,0,0,0,
304,111,6,1,0,356.65,55.3281,1.85,0,0,0,
307,3,6,1,0,356.65,-55.3281,1.85,0,0,0,
310,111,6,1,0,359.2,-55.7261,1.85,0,0,0,
313,3,6,1,0,359.2,55.7262,1.85,0,0,0,
316,112,6,1,0,361.75,56.0976,1.85,0,0,0,
319,3,6,1,0,361.75,-56.0974,1.85,0,0,0,
322,113,6,1,0,364.3,-56.4426,1.85,0,0,0,
325,3,6,1,0,364.3,56.4429,1.85,0,0,0,
328,114,6,1,0,366.85,56.7625,1.85,0,0,0,
331,3,6,1,0,366.85,-56.7623,1.85,0,0,0,
334,114,6,1,0,369.4,-57.0567,1.85,0,0,0,
337,3,6,1,0,369.4,57.0569,1.85,0,0,0,
340,115,6,1,0,371.95,57.3265,1.85,0,0,0,
343,3,6,1,0,371.95,-57.3264,1.85,0,0,0,
346,115,6,1,0,374.5,-57.5715,1.85,0,0,0,
349,3,6,1,0,374.5,57.5716,1.85,0,0,0,
352,116,6,1,0,377.05,57.7925,1.85,0,0,0,
355,3,6,1,0,377.05,-57.7925,1.85,0,0,0,
358,116,6,1,0,379.6,-57.9896,1.85,0,0,0,
361,3,6,1,0,379.6,57.9895,1.85,0,0,0,
364,116,6,1,0,382.15,58.1628,1.85,0,0,0,
367,3,6,1,0,382.15,-58.1629,1.85,0,0,0,
370,117,6,1,0,384.7,-58.3127,1.85,0,0,0,
373,3,6,1,0,384.7,58.3125,1.85,0,0,0,
376,117,6,1,0,387.25,58.4389,1.85,0,0,0,
379,3,6,1,0,387.25,-58.4391,1.85,0,0,0,
382,117,6,1,0,389.8,-58.5421,1.85,0,0,0,
385,3,6,1,0,389.8,58.542,1.85,0,0,0,
388,117,6,1,0,392.35,58.622,1.85,0,0,0,
391,3,6,1,0,392.35,-58.6221,1.85,0,0,0,
394,117,6,1,0,394.9,-58.6791,1.85,0,0,0,
397,3,6,1,0,394.9,58.679,1.85,0,0,0,
400,117,6,1,0,397.45,58.7131,1.85,0,0,0,
403,3,6,1,0,397.45,-58.7131,1.85,0,0,0,
406,117,6,1,0,400,-58.7245,1.85,0,0,0,
409,3,6,1,0,400,58.7245,1.85,0,0,0,
412,117,6,1,0,402.55,58.7131,1.85,0,0,0,
415,3,6,1,0,402.55,-58.7131,1.85,0,0,0,
418,117,6,1,0,405.1,-58.679,1.85,0,0,0,
421,3,6,1,0,405.1,58.6791,1.85,0,0,0,
424,117,6,1,0,407.65,58.6221,1.85,0,0,0,
427,3,6,1,0,407.65,-58.622,1.85,0,0,0,
430,117,6,1,0,410.2,-58.542,1.85,0,0,0,
433,3,6,1,0,410.2,58.5421,1.85,0,0,0,
436,117,6,1,0,412.75,58.4391,1.85,0,0,0,
439,3,6,1,0,412.75,-58.4389,1.85,0,0,0,
442,117,6,1,0,415.3,-58.3125,1.85,0,0,0,
445,3,6,1,0,415.3,58.3127,1.85,0,0,0,
448,116,6,1,0,417.85,58.1629,1.85,0,0,0,
451,3,6,1,0,417.85,-58.1628,1.85,0,0,0,
454,116,6,1,0,420.4,-57.9895,1.85,0,0,0,
457,3,6,1,0,420.4,57.9896,1.85,0,0,0,
460,116,6,1,0,422.95,57.7925,1.85,0,0,0,
463,3,6,1,0,422.95,-57.7925,1.85,0,0,0,
466,115,6,1,0,425.5,-57.5716,1.85,0,0,0,
469,3,6,1,0,425.5,57.5715,1.85,0,0,0,
472,115,6,1,0,428.05,57.3264,1.85,0,0,0,
475,3,6,1,0,428.05,-57.3265,1.85,0,0,0,
478,114,6,1,0,430.6,-57.0569,1.85,0,0,0,
481,3,6,1,0,430.6,57.0567,1.85,0,0,0,
484,114,6,1,0,433.15,56.7623,1.85,0,0,0,
487,3,6,1,0,433.15,-56.7625,1.85,0,0,0,
490,113,6,1,0,435.7,-56.4429,1.85,0,0,0,
493,3,6,1,0,435.7,56.4426,1.85,0,0,0,
496,112,6,1,0,438.25,56.0974,1.85,0,0,0,
499,3,6,1,0,438.25,-56.0976,1.85,0,0,0,
502,111,6,1,0,440.8,-55.7262,1.85,0,0,0,
505,3,6,1,0,440.8,55.7261,1.85,0,0,0,
508,111,6,1,0,443.35,55.3281,1.85,0,0,0,
511,3,6,1,0,443.35,-55.3281,1.85,0,0,0,
514,110,6,1,0,445.9,-54.9026,1.85,0,0,0,
517,3,6,1,0,445.9,54.9027,1.85,0,0,0,
520,109,6,1,0,448.45,54.4494,1.85,0,0,0,
523,3,6,1,0,448.45,-54.4492,1.85,0,0,0,
526,108,6,1,0,451,-53.9672,1.85,0,0,0,
529,3,6,1,0,451,53.9673,1.85,0,0,0,
532,107,6,1,0,453.55,53.4558,1.85,0,0,0,
535,3,6,1,0,453.55,-53.4558,1.85,0,0,0,
538,106,6,1,0,456.1,-52.9142,1.85,0,0,0,
541,3,6,1,0,456.1,52.9142,1.85,0,0,0,
544,105,6,1,0,458.65,52.3415,1.85,0,0,0,
547,3,6,1,0,458.65,-52.3416,1.85,0,0,0,
